,utc_datetime,lat,lon,depth,ML,RMS,intensity,locality_1,locality_2,locality_3,name_of_originating_file,PITL_p_arrival_time_man_picked,PITL_s_arrival_time_man_picked,P3MM_p_arrival_time_man_picked,P3MM_s_arrival_time_man_picked,P2LR_p_arrival_time_man_picked,P2LR_s_arrival_time_man_picked,P1GW_p_arrival_time_man_picked,P1GW_s_arrival_time_man_picked,G1WS_p_arrival_time_man_picked,G1WS_s_arrival_time_man_picked,G2EB_p_arrival_time_man_picked,G2EB_s_arrival_time_man_picked,G3GB_p_arrival_time_man_picked,G3GB_s_arrival_time_man_picked,B1BC_p_arrival_time_man_picked,B1BC_s_arrival_time_man_picked,DRUM_p_arrival_time_man_picked,DRUM_s_arrival_time_man_picked,B3FZ_p_arrival_time_man_picked,B3FZ_s_arrival_time_man_picked,TARL_p_arrival_time_man_picked,TARL_s_arrival_time_man_picked
0,2022-04-06T13:20:22.300000Z,56.435,-5.938,4.6,1.1,0.4,      , MULL,ARGYLL &amp, BUTE      <br>,other_data_files/BGS_Data_N55-59_W01-07_2022-04-01_2023_07_04.csv,,,,,,,,,,,,,,,,,,,,,,
1,2022-04-14T10:49:22.900000Z,57.766,-5.578,6.5,1.4,0.5,      , POOLEWE,HIGHLAND        <br>,,other_data_files/BGS_Data_N55-59_W01-07_2022-04-01_2023_07_04.csv,,,2022-04-14T10:49:53.611677Z,2022-04-14T10:49:54.202214Z,,,2022-04-14T10:49:54.684876Z,2022-04-14T10:49:57.528551Z,,,2022-04-14T10:49:56.404160Z,2022-04-14T10:49:57.884777Z,2022-04-14T10:49:48.954603Z,2022-04-14T10:49:54.115523Z,,,,,2022-04-14T10:49:55.041032Z,2022-04-14T10:49:56.055991Z,,
2,2022-04-14T11:28:20.400000Z,57.773,-5.652,7.6,0.9,0.4,      , POOLEWE,HIGHLAND        <br>,,other_data_files/BGS_Data_N55-59_W01-07_2022-04-01_2023_07_04.csv,,,2022-04-14T11:28:31.724717Z,2022-04-14T11:28:34.518426Z,,,2022-04-14T11:28:51.875238Z,2022-04-14T11:28:55.117080Z,,,2022-04-14T11:28:37.884601Z,2022-04-14T11:28:39.711772Z,2022-04-14T11:28:50.545999Z,2022-04-14T11:28:52.081360Z,,,,,2022-04-14T11:28:51.697495Z,2022-04-14T11:28:54.613598Z,,
3,2022-04-19T03:03:11.900000Z,57.768,-5.569,7.6,1.7,0.5,      , POOLEWE,HIGHLAND        <br>,,other_data_files/BGS_Data_N55-59_W01-07_2022-04-01_2023_07_04.csv,,,2022-04-19T03:03:40.565550Z,2022-04-19T03:03:42.889200Z,,,2022-04-19T03:03:42.854422Z,2022-04-19T03:03:45.966804Z,2022-04-19T03:03:45.271593Z,2022-04-19T03:03:47.245676Z,2022-04-19T03:03:44.007089Z,2022-04-19T03:03:45.340196Z,2022-04-19T03:03:42.223828Z,2022-04-19T03:03:42.982320Z,,,,,2022-04-19T03:03:43.612440Z,2022-04-19T03:03:44.376907Z,,
4,2022-04-19T03:06:10.700000Z,57.791,-5.557,6.7,0.9,0.4,      , POOLEWE,HIGHLAND        <br>,,other_data_files/BGS_Data_N55-59_W01-07_2022-04-01_2023_07_04.csv,,,2022-04-19T03:06:40.903120Z,2022-04-19T03:06:41.425501Z,,,,,,,,,2022-04-19T03:06:40.650699Z,2022-04-19T03:06:41.562292Z,,,,,,,,
5,2022-04-19T03:11:48.300000Z,57.811,-5.683,6.6,1.0,0.2,      , POOLEWE,HIGHLAND        <br>,,other_data_files/BGS_Data_N55-59_W01-07_2022-04-01_2023_07_04.csv,,,2022-04-19T03:12:18.962886Z,2022-04-19T03:12:19.485990Z,,,2022-04-19T03:12:22.072035Z,2022-04-19T03:12:22.838641Z,,,,,2022-04-19T03:12:19.395733Z,2022-04-19T03:12:20.100978Z,,,,,2022-04-19T03:12:20.138237Z,2022-04-19T03:12:21.195421Z,,
6,2022-04-19T11:26:22.300000Z,55.789,-5.508,8.3,1.5,0.3,      , CLACHAN,ARGYLL &amp, BUTE   <br>,other_data_files/BGS_Data_N55-59_W01-07_2022-04-01_2023_07_04.csv,,,2022-04-19T11:26:48.883420Z,2022-04-19T11:26:50.088304Z,,,,,2022-04-19T11:26:53.092272Z,2022-04-19T11:26:53.460318Z,,,,,,,,,,,,
7,2022-04-20T11:20:32.700000Z,55.861,-5.449,7.6,1.2,0.4,      , TARBERT,ARGYLL &amp, BUTE   <br>,other_data_files/BGS_Data_N55-59_W01-07_2022-04-01_2023_07_04.csv,,,,,,,2022-04-20T11:20:59.132601Z,2022-04-20T11:20:59.946673Z,,,2022-04-20T11:20:38.626819Z,2022-04-20T11:20:41.986018Z,,,,,,,2022-04-20T11:21:06.785360Z,2022-04-20T11:21:08.504401Z,,
8,2022-04-21T04:14:45.500000Z,56.975,-5.274,7.3,0.5,0.2,      , LOCH ARKAIG,HIGHLAND    <br>,,other_data_files/BGS_Data_N55-59_W01-07_2022-04-01_2023_07_04.csv,,,2022-04-21T04:15:06.047506Z,2022-04-21T04:15:06.320346Z,,,2022-04-21T04:15:08.715914Z,2022-04-21T04:15:09.292766Z,2022-04-21T04:15:11.531129Z,2022-04-21T04:15:12.171169Z,,,2022-04-21T04:15:08.417259Z,2022-04-21T04:15:08.890919Z,,,,,2022-04-21T04:15:11.901425Z,2022-04-21T04:15:12.351820Z,,
9,2022-04-23T18:39:04.100000Z,55.742,-5.619,10.5,0.8,0.3,      , CLACHAN,ARGYLL &amp, BUTE   <br>,other_data_files/BGS_Data_N55-59_W01-07_2022-04-01_2023_07_04.csv,,,,,,,2022-04-23T18:39:27.269416Z,2022-04-23T18:39:31.032605Z,,,,,,,,,,,2022-04-23T18:40:00.464356Z,2022-04-23T18:40:03.285212Z,,
